Title,DIM: LA dividend receipts - seasonally adjusted
2012 Q3,335
2012 Q4,224
2013 Q1,109
2013 Q2,642
2013 Q3,338
2013 Q4,274
2014 Q1,125
2014 Q2,598
2014 Q3,154
2014 Q4,117
2015 Q1,139
2015 Q2,542
2015 Q3,151
2015 Q4,143
2016 Q1,142
2016 Q2,470
2016 Q3,152
2016 Q4,153
2017 Q1,141
2017 Q2,427
2017 Q3,170
2017 Q4,164
2018 Q1,160
2018 Q2,381
2018 Q3,184
2018 Q4,193
2019 Q1,201
2019 Q2,215
2019 Q3,213
2019 Q4,214
2020 Q1,248
2020 Q2,422
2020 Q3,189
2020 Q4,200
2021 Q1,195
2021 Q2,184
2021 Q3,215
2021 Q4,190
2022 Q1,223
2022 Q2,190
2022 Q3,207
2022 Q4,188
2023 Q1,201
2023 Q2,206
